title,location,skill,type,seniority_level,est_salary,remote,description
Lead iOS Engineer - £80K  Benefits - Hybrid,"South East London, London",['iOS Development'],full time,2,80000.0,False,"Lead iOS Engineer - £80K  Benefits - Hybrid This is a new opportunity with TSB, who are looking to hire a brilliant Lead iOS Engineer Working in an agile and devops environment, you'll play a pivotal role in the design, development, and implementation of mission-critical software applications and systems. You'll be proficient in Mobile iOS development, frameworks, and technologies, and often have a deeper understanding of software architecture and design principles. The role would be perfect fo"
?Lead Full Stack Engineer - £75K Benefits - Hybrid,"London, UK",[],full time,2,75000.0,False,"Lead Full Stack Engineer - £75K Benefits - Hybrid A brilliant new opportunity has opened up with a well-known retail Bank for a Lead Full Stack Engineer. You'll play a pivotal role in the design, development, and implementation of mission-critical applications and systems. They leverage their extensive technical expertise and leadership skills to lead complex projects, mentor junior team members, and drive innovation across the organization. The role would be perfect for someone who loves innov"
?Lead Full Stack Engineer - £100K Benefits - Hybrid,"London, UK",[],full time,2,100000.0,False,"Lead Full Stack Engineer - £100K Benefits - Hybrid A brilliant new opportunity has opened up with a well-known retail Bank for a Lead Full Stack Engineer. You'll play a pivotal role in the design, development, and implementation of mission-critical applications and systems. They leverage their extensive technical expertise and leadership skills to lead complex projects, mentor junior team members, and drive innovation across the organization. The role would be perfect for someone who loves inno"
Lead Cloud Engineer - £75K  Benefits - Hybrid,"South East London, London",[],full time,2,75000.0,False,"Lead Cloud Engineer - £75K  Benefits - Hybrid This is a new opportunity with TSB, who are looking to hire a brilliant Lead Cloud Engineer As a Lead Cloud Engineer, you'll have SME level knowledge across Cloud Providers and Platform Engineering disciplines. You'll build Cloud Solutions to ensure the organisation can take full advantage of Cloud based technologies. The role would be perfect for someone who loves innovation, is keen to dive straight into things and have a real impact with the work"
Java developer,Singapore,"['Java', 'React']",full time,2,0.0,False,"Responsibilities: · Design and develop low-latency backend micro-services using the latest version of Java, AMPS, and Solace. · Design and develop web trading frontends using React, Redux Toolkit, Tailwind, Finsemble, and AMPS. · Implement strategic solutions for automated testing, platform monitoring, compliance controls, automated deployment, trade reconciliation, and application recovery. · Partner with key members of the trading desk and the product team to help shape product features and e"
Full-Stack Developer,"Changi, East",[],full time,2,0.0,False,"Company description: Changi Airport Group (CAG) is the manager of Singapore Changi Airport, a leading air hub in Asia and one of the worlds most awarded airports. As airport manager, CAG performs the key functions of airport operations, air hub development, retail and commercial activities, infrastructure development and airport emergency services. CAG also manages Seletar Airport, and through its subsidiary, Changi Airports International, it takes Changis presence beyond Singapores shores t"
Business Development Manager,Singapore,[],full time,3,0.0,False,"At AIA we've started an exciting movement to create a healthier, more sustainable future for everyone. It's about finding new ways to not only better people's lives, but to better the communities and environments we live in. Encompassing our ambition of helping a billion people live Healthier, Longer, Better Lives by 2030. And as part of our marketing, distribution & partnership team, you'll play a vital part in advancing this movement. From inspiring meaningful connections with customers, part"
Sr. C++ Developer,Singapore,"['C', 'C++']",full time,3,0.0,False,"Key Duties & Responsibilities: Demonstrating an aptitude for analyzing intricate technical challenges, you will make informed technical decisions in a proactive and self-directed manner throughout all phases of the technology life cycle. Systems development on a mature, modern C++ codebase. Upholding code quality standards and accountability for your own code. Testing, evaluating, and recommending technologies to enhance overall solutions. Continually refining the development life cycle and cod"
Senior Quant Developer,Singapore,[],full time,3,0.0,False,"We're working with a multi-strat hedge fund, who are one of Asia's most well-funded start-up trading firms ever. They are expanding their technology function in Singapore, looking for top quant developers and front office engineers to join their team. You will be joining a hugely exciting expansion phase for the firm, working closely with Portfolio Managers and the engineering team alike. The QD team is focused on Fixed Income products, where you will be helping to develop portfolio optimizatio"
Clinical Tools Developer,Singapore,[],full time,2,0.0,False,"Do meaningful work with us. Every day. At Amplify Health, we're looking for individuals with ambition, resilience and passion for healthcare, insurance, wellness and digital technology. As a fast-growing business with the ambition of making people and communities across Asia healthier, we have exciting career opportunities available to help us achieve our vision. Assist and lead in the research, creation and development of Clinical Tools and Classification Systems such as groupers, classifiers,"
Research and Development Intern,Singapore,[],full time,2,0.0,False,"Responsibilities: Support the development of 3D model and avatar generative AI systems, gaining hands-on experience in advanced 3D geometry, texturing, human reconstruction, and animation techniques. Contribute to project discussions, offering innovative ideas for 3D model and avatar generation enhancements. Collaborate closely with senior specialists to refine 3D models and avatars for optimal game integration. Participate in research and development tasks to explore new frontiers in 3D mo"
Development Lead - Quant Risk,Singapore,['NoSQL'],full time,2,0.0,False,"Key Responsibilities: Architect, design, and implement solutions that meet the needs of a high-performance, real-time risk calculation platform. Work closely with the development team to ensure the successful implementation of the platform. Design and develop applications that interface with tick databases, NoSQL, and relational databases. Utilize strong domain knowledge in quant trading, with a focus on the integration between pricing engines, risk calculation, and quant analytics. Ensure robu"
Senior Business Development Consultant,Singapore,[],full time,3,0.0,False,"Do meaningful work with us. Every day. At Amplify Health, we're looking for individuals with ambition, resilience and passion for healthcare, insurance, wellness and digital technology. As a fast-growing business with the ambition of making people and communities across Asia healthier, we have exciting career opportunities available to help us achieve our vision. A critical position, accountable for supporting Amplify Health's (AH) business development initiatives including strategic account ma"
Java Developer - Trade Booking,Singapore,[],full time,2,0.0,False,"Responsibilities: Booking System Management: Design and maintain a robust booking system to capture trades with precision, ensuring no discrepancies within the market. Proactively monitor and audit trading activities to guarantee that all trades are correctly captured and accurately represented. Clearing House Functionality: Develop and enhance clearing house functionalities to ensure compliance with evolving regulatory standards. Implement efficient routing protocols for transactions, directin"
Unity Client Development Trainee,Singapore,['Unity'],full time,2,0.0,False,"Responsibilities: Lightspeed Studios are one of the world's most innovative and successful game developers. We are expanding across China, the United States, Singapore, Canada, Japan, South Korea, and New Zealand. Founded in 2008, LightSpeed Studios has created over 50 games across multiple platforms and genres for more than 4 billion registered users. It is the co-developer of the worldwide hit PUBG MOBILE. Develop innovative games using the Unity engine; Collaborate with the team to develop U"
Partnerships Sales Development Manager,Singapore,['Networking'],full time,3,0.0,False,"Partnership Strategy Development: Develop and implement a comprehensive partnership strategy aligned with the company's goals and objectives. Identify potential partners that can enhance the company's offerings and market reach. Lead Generation and Outreach: Conduct market research to identify new partnership opportunities and generate leads. Initiate and manage outreach efforts to prospective partners through networking, cold calls, and other methods. Relationship Management: Build and maintai"
Java Software Developer (Payments),Singapore,['Java'],full time,2,0.0,False,"Java Software Developer (Payments) Job posting done by Sheralynn Tjioe, Technology Recruitment at Kerry Consulting Email: srkerryconsulting.com Our Client is a leading leading stable firm. We are seeking a skilled Java Software Development Specialist to develop and support transaction processing modules within our core systems. In this role, you'll work with various teams to ensure high-quality project delivery, compliance with required standards. Key Responsibilities: - Develop and refine modu"
Application Developer - Cloud Solutioning,Singapore,"['Machine Learning', 'Linux']",full time,2,0.0,False,"Key Responsibilities: Design, develop, and maintain hybrid and cloud-based applications, libraries, and proofs-of-concept (POC). Create proof-of-concepts that balance quality and delivery timelines, demonstrating use-cases to end-users. Write code for various applications, including infrastructure-as-code, software development, data analytics scripts, machine learning samples, and automation scripts, primarily in Linux. This may involve a combination of all the above. Collaborate with business"
Senior Quantitative Software Developer,Singapore,[],full time,3,0.0,False,"Key Responsibilities Develop and enhance risk management, portfolio optimization tools, and support various trading strategies. Facilitate integration projects, connecting our core platform with financial vendor systems. Work closely with market risk and quant teams to improve pricing and risk libraries. Implement automated mechanisms for system robustness. Stay updated on quantitative finance and trading technology trends. Maintain system health and address production issues swiftly. Mentor ju"
Backend Developer,Singapore,"['PHP', 'MySQL', 'Laravel']",full time,2,0.0,False,"Job Summary: The client is expanding its development team to support its rapid growth and IT vision. We are looking for a skilled PHP/Laravel/MySQL Developer to join our team, contributing to the development and maintenance of our ERP system and its integrations with various platforms. Key Responsibilities: Develop, test, and maintain web applications using PHP and the Laravel framework. Design and implement database schemas in MySQL to support application requirements. Collaborate with front-e"
Dotnet Developer,Singapore,[],full time,2,0.0,False,"We are seeking a skilled and motivated Dotnet Developer to join our dynamic development team. The ideal candidate will have extensive experience in developing, testing, and maintaining software applications using the .NET framework. You will be responsible for designing and implementing new features, optimizing existing systems, and ensuring the robustness and reliability of the applications. Key Responsibilities: Design, develop, and maintain applications using the .NET framework. Collaborate"
MongoDB Developer,Singapore,['MongoDB'],full time,2,0.0,False,"We are looking for a skilled MongoDB Developer to handle the development, implementation, and maintenance of our MongoDB databases. You will play a critical role in managing databases that store vast amounts of data and ensure their performance, availability, and security. Responsibilities: Design and develop database structures and optimize queries for MongoDB databases to ensure high performance. Implement and manage database setups, ensuring data integrity and adherence to business requireme"
.NET DEVELOPER,Singapore,[],full time,2,0.0,False,"Job Overview: We are looking for a skilled .NET Developer to join our software development team. The successful candidate will be responsible for developing and maintaining high-quality applications using the .NET framework. You will be involved in the entire software development life cycle, from concept and design to implementation, testing, and deployment. You should be comfortable with both back-end and front-end coding and be passionate about delivering scalable and efficient software solut"
C++ Developer,Singapore,"['C', 'C++']",full time,2,0.0,False,"Description We are seeking a talented C/C++ Developer to join our team. You will be responsible for designing, implementing, and maintaining high-performance software applications for various platforms. Your role will involve collaborating with cross-functional teams to deliver scalable solutions that meet business requirements. Key Responsibilities: Develop software applications using C and C++, following best coding practices and design patterns. Analyze requirements and design specifications"
Sitecore Developer,Singapore,[],full time,2,0.0,False,"About Us: Innovate. Create. Elevate. At Vertis, we are on a mission to constantly innovate and create exceptional digital solutions. Our goal is to elevate our clients brands and the experiences they deliver to their customers through the power of technology-driven creativity. Our people are the catalyst, empowering our clients to successfully transform their businesses - join our team of able, confident, and motivated superstars. About the job: We are seeking a skilled Sitecore Developer to jo"
Java Developer,Singapore,"['JavaScript', 'Java', 'Spring Boot']",full time,2,0.0,False,"e are seeking a highly skilled and experienced Java Developer to join our dynamic team. The ideal candidate will have a strong background in Spring Boot, Hibernate, JavaScript, and Microservices, with a proven track record in the banking domain. You will be responsible for developing and maintaining high-performance, scalable, and secure applications, ensuring seamless integration with various banking systems. Key Responsibilities: Design, develop, and maintain Java applications using Spring Bo"
Python Developer,Singapore,['SQL'],full time,2,0.0,False,"Design the solution and develop the software using waterfall/Agile methodology. Perform investigation, troubleshoot issues by developing scripts, SQL queries. Work closely and collaborate with the Business Analysts and Quality Engineers/application testers for user stories elaboration, test automation, bug fixes etc. Work with deployment team/DevOps team on setting up continuous integration, build and release automation. Provide estimates for stories during sprint planning for Agile project. Co"
Java developer,Singapore,"['Java', 'JUnit']",full time,2,0.0,False,"Contribute in all phases of the development lifecycle in project. Implement and code business or functional requirements translated in technical documents Write well designed, testable, efficient code. Ensure designs follow specifications and project custom framework standard. Implement unit testing, example Junit, to support development of test-driven development Prepare and produce releases of software components Requirements 3 years of programming experience in Java and web programming. Prof"
Java Developer,Singapore,"['Java', 'PostgreSQL', 'React', 'Spring Boot', 'REST API']",full time,2,0.0,False,"We are seeking a highly skilled and experienced Java Developer to join our dynamic team. The ideal candidate will have a strong background in Java, Spring boot, Hibernate , React, Microservices, Rest API, PostgreSQL , with a proven track record in the banking domain. You will be responsible for developing and maintaining high-performance, scalable, and secure applications, ensuring seamless integration with various banking systems. Key Responsibilities: Design, develop, and maintain Java applic"
Informatica Developer,Singapore,[],full time,2,0.0,False,"Design, develop, and implement complex ETL processes using Informatica PowerCenter. Create and maintain high-quality, efficient, and scalable ETL mappings, workflows, and sessions. Collaborate with business analysts and data architects to understand data requirements. Perform data profiling and analysis to ensure accurate mapping of source system data to target structures. Identify and resolve performance issues in ETL processes to ensure optimal data integration performance. Implement best pra"
Murex Developer,Singapore,[],full time,2,0.0,False,"We are seeking a skilled Murex Developer with a strong background in Murex EOD processing, asset class and market data knowledge, and expertise in market risk management. The ideal candidate should have experience with Murex Market Risk, Value at Risk (VaR) calculations, and be proficient in Murex Datamart for data reporting and analysis. This role involves collaborating closely with business analysts and stakeholders to deliver high-quality solutions within a fast-paced financial environment."
